user_id,activity_date,match_type,finish_position,bots,n_matches
127,2024-01-24,C,1,1,1
6065,2024-01-02,C,1,1,1
12723,2024-01-14,C,1,1,1
1026,2024-01-12,A,3,0,1
479,2023-12-14,C,1,1,1
8795,2024-01-18,C,3,0,1
2713,2023-12-04,C,1,1,1
16495,2023-12-23,A,4,4,1
341,2023-12-05,C,2,2,1
10148,2024-01-21,C,1,1,1
6351,2024-02-26,A,4,4,1
398,2023-12-24,A,3,0,1
942,2024-02-24,C,4,4,1
9012,2024-01-21,C,1,1,1
13216,2024-01-21,C,2,0,1
12173,2024-01-31,C,4,4,1
10975,2024-02-12,A,3,0,1
2400,2023-12-14,C,4,4,1
13665,2024-02-11,C,3,3,1
4325,2023-12-29,A,3,3,1
268,2023-12-13,A,1,1,1
6351,2023-12-26,A,2,2,1
817,2024-01-01,C,3,0,1
864,2023-12-14,C,2,2,1
561,2023-12-27,C,1,1,1
2067,2024-02-21,C,3,3,1
14294,2024-01-27,A,2,2,1
4676,2023-12-02,C,1,1,1
2048,2024-01-15,A,2,2,1
6822,2024-01-02,A,2,2,1
6822,2023-12-30,A,1,0,1
12581,2024-01-17,C,2,0,1
9167,2024-03-01,C,4,4,1
10738,2024-02-18,B,3,0,1
4676,2023-12-06,C,3,3,1
6468,2024-01-28,A,3,3,1
398,2023-12-24,A,1,1,1
350,2024-01-10,C,1,1,1
4631,2023-12-17,A,3,3,2
5224,2023-12-06,C,1,1,3
9012,2023-12-29,C,,4,1
11238,2024-02-05,C,4,4,1
13831,2024-01-15,C,1,1,1
1288,2024-01-05,C,3,0,1
9416,2024-01-10,A,,4,1
10148,2023-12-03,C,2,2,1
2041,2023-12-04,C,1,1,1
68,2024-02-11,C,2,2,1
14294,2024-02-22,A,1,1,1
6822,2024-02-09,A,2,2,2
12445,2024-01-17,C,1,1,1
4325,2024-02-26,C,1,1,1
2929,2024-02-02,A,2,2,1
6822,2023-12-04,C,2,2,1
4676,2023-12-06,C,4,4,1
