,user_id,platform,activity_date,acquisition_date
2211,6764,android,2024-01-06,2024-01-06
2212,6781,android,2024-01-30,2024-01-30
2213,6915,android,2024-01-27,2024-01-02
2232,6935,ios,2024-02-22,2024-01-27
2233,6942,android,2024-01-27,2024-01-27
2237,6968,android,2024-02-07,2024-01-28
2238,6984,android,2024-01-09,2024-01-02
2239,6985,android,2024-01-26,2024-01-26
2240,7008,android,2024-01-18,2024-01-17
2244,7028,android,2024-01-19,2024-01-06
2252,7034,android,2024-02-12,2024-01-28
2255,7066,ios,2024-02-09,2024-01-21
2260,7090,android,2024-02-10,2024-01-30
2267,7115,android,2024-01-28,2024-01-09
2268,7128,android,2024-02-01,2024-01-30
2269,7129,ios,2024-01-18,2024-01-18
2270,7139,android,2024-02-08,2024-01-17
2276,7140,android,2024-02-25,2024-01-19
2280,7229,android,2024-02-25,2024-01-15
2281,7233,android,2024-01-04,2024-01-04
2293,7301,android,2024-02-29,2024-01-29
2304,7337,android,2024-02-01,2024-01-19
2306,7357,android,2024-02-01,2024-01-11
2308,7474,ios,2024-01-14,2024-01-10
2309,7488,android,2024-01-29,2024-01-12
2310,7501,android,2024-01-04,2024-01-03
2311,7512,android,2024-01-29,2024-01-22
2327,7513,android,2024-02-15,2024-01-30
2331,7541,android,2024-02-27,2024-01-15
2333,7555,android,2024-01-17,2024-01-14
2339,7556,android,2024-01-27,2024-01-01
2341,7567,android,2024-01-28,2024-01-27
2345,7582,ios,2024-01-18,2024-01-03
2346,7603,android,2024-01-25,2024-01-24
2348,7617,android,2024-01-14,2024-01-03
2352,7638,android,2024-01-17,2024-01-09
2355,7639,android,2024-02-28,2024-01-08
2356,7670,ios,2024-01-01,2024-01-01
2366,7677,android,2024-02-06,2024-01-04
2367,7694,android,2024-01-11,2024-01-11
2385,7696,android,2024-02-29,2024-01-18
2401,7741,android,2024-02-05,2024-01-11
2402,7857,android,2024-01-16,2024-01-15
2407,7863,android,2024-02-24,2024-01-07
2409,7868,android,2024-01-08,2024-01-05
2411,7917,android,2024-02-26,2024-01-29
2414,7934,android,2024-01-31,2024-01-03
2429,7950,android,2024-03-01,2024-01-29
2431,7961,android,2024-02-03,2024-01-12
2452,7967,android,2024-02-05,2024-01-12
2456,8022,android,2024-02-12,2024-01-30
2457,8026,android,2024-01-28,2024-01-28
2475,8039,android,2024-02-26,2024-01-05
2482,8061,android,2024-02-25,2024-01-30
2483,8071,android,2024-01-20,2024-01-20
2484,8078,android,2024-01-12,2024-01-11
2485,8080,ios,2024-01-01,2024-01-01
2486,8095,android,2024-01-20,2024-01-20
2505,8097,android,2024-02-16,2024-01-14
2506,8132,android,2024-01-10,2024-01-10
2508,8146,ios,2024-02-01,2024-01-19
2517,8156,android,2024-02-18,2024-01-19
2518,8231,android,2024-02-01,2024-01-30
2538,8288,android,2024-02-29,2024-01-06
2541,8289,android,2024-01-27,2024-01-16
2542,8290,android,2024-01-13,2024-01-13
2547,8327,android,2024-02-18,2024-01-02
2548,8367,android,2024-01-21,2024-01-14
2562,8380,ios,2024-02-24,2024-01-17
2563,8432,android,2024-01-19,2024-01-19
2565,8445,android,2024-01-25,2024-01-24
2569,8451,android,2024-02-14,2024-01-06
2574,8455,android,2024-03-01,2024-01-16
2583,8463,android,2024-02-29,2024-01-30
2584,8481,android,2024-01-02,2024-01-02
2585,8509,android,2024-01-11,2024-01-08
2586,8592,android,2024-01-28,2024-01-28
2587,8610,android,2024-01-18,2024-01-18
2602,8653,android,2024-03-01,2024-01-04
2603,8666,android,2024-01-08,2024-01-08
2604,8676,android,2024-01-14,2024-01-14
2619,8710,android,2024-02-19,2024-01-06
2620,8712,android,2024-02-10,2024-01-29
2621,8756,android,2024-01-09,2024-01-09
2623,8759,ios,2024-02-11,2024-01-15
2625,8860,android,2024-02-03,2024-01-28
2626,8874,ios,2024-01-23,2024-01-19
2631,8949,android,2024-01-27,2024-01-11
2632,9021,android,2024-01-27,2024-01-27
2653,9034,android,2024-02-20,2024-01-10
2654,9037,android,2024-01-21,2024-01-21
2655,9042,android,2024-01-14,2024-01-14
2656,9057,android,2024-01-09,2024-01-08
2661,9071,android,2024-02-13,2024-01-19
2662,9075,android,2024-01-10,2024-01-06
2679,9099,android,2024-03-01,2024-01-17
2691,9114,android,2024-02-27,2024-01-02
2692,9131,ios,2024-01-21,2024-01-21
2694,9140,android,2024-02-20,2024-01-07
2728,9155,android,2024-02-29,2024-01-10
2732,9210,android,2024-01-23,2024-01-20
2735,9220,android,2024-01-08,2024-01-05
2736,9250,ios,2024-01-06,2024-01-06
2740,9281,android,2024-01-26,2024-01-05
2741,9355,android,2024-01-30,2024-01-30
2743,9382,android,2024-01-30,2024-01-27
2744,9392,android,2024-01-28,2024-01-24
2745,9411,android,2024-01-11,2024-01-10
2747,9415,android,2024-02-08,2024-01-21
2753,9433,android,2024-02-23,2024-01-30
2757,9436,android,2024-02-21,2024-01-13
2758,9489,android,2024-01-27,2024-01-27
2776,9539,android,2024-03-01,2024-01-17
